Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
nan,nan,nan,nan,nan,27944.2489914855,173.75,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,28183.7948491645,174.36,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,28410.2525741841,175.06,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,28614.5097503672,175.77,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,28867.2976931103,179.42,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,29106.8435507893,180.03,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,29333.3012758089,180.73,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,29537.558451992,181.44,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,29790.346394735,185.09,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,30029.892252414,185.7,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,30256.3499774336,186.4,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,30460.6071536167,187.11,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,30713.3950963598,190.76,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,30952.9409540388,191.37,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,31179.3986790584,192.07,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,31383.6558552415,192.78,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,31636.4437979845,196.43,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,31875.9896556635,197.04,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,32102.4473806831,197.74,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,32306.7045568662,198.45,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,32559.4924996093,202.1,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,32799.0383572883,202.71,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,33025.4960823079,203.41,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,33229.753258491,204.12,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,33482.541201234,207.77,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,33722.087058913,208.38,nan,nan,nan,nan,nan,nan
